MeterID,Description,Units,Resource,BuildingID,BuildingName,GrossSquareFeet,BuildDate,Latitude,Longitude,Campus,Organization,LocationType,SteamSourceID,ChilledWaterSourceID,HotWaterSourceID
OSU_RTS.MDBUS_H1.247_H2HF,MCCORKLE DP HW HEAT FLOW,KBTU/HR,Heating Hot Water,247,McCorkle Aquatic Pavilion,127491.0,2005-07-01,39.99838,-83.01793,Main,ATH,Athletics,,,
OSU_RTS.MDBUS_H1.247_H3HF,MCCORKLE SPA HW HEAT FLO,KBTU/HR,Heating Hot Water,247,McCorkle Aquatic Pavilion,127491.0,2005-07-01,39.99838,-83.01793,Main,ATH,Athletics,,,
OSU_RTS.MDBUS_H1.247_HHF,MCCORKLE CP HW HEAT FLOW,KBTU/HR,Heating Hot Water,247,McCorkle Aquatic Pavilion,127491.0,2005-07-01,39.99838,-83.01793,Main,ATH,Athletics,,,
OSU_RTS.MDBUS_RT.248S_HF,CBEC STM HEAT FLOW,KBTU/HR,Steam,248,Chemical and Biomolecular Engineering and Chemistry Building,236537.0,2014-07-01,40.00342,-83.0134,Main,ACA,Academic/Research,69,69,69
OSU_RTS.MDBUS_C1.248_HF,CBEC CW HEAT FLOW,KBTU/HR,Chilled Water ,248,Chemical and Biomolecular Engineering and Chemistry Building,236537.0,2014-07-01,40.00342,-83.0134,Main,ACA,Academic/Research,69,69,69
OSU_RTS.MDBUS_C1.249_HF,FISHER CW HEAT FLOW,KBTU/HR,Chilled Water ,249,"Fisher, Max M, Hall",132056.0,1998-07-01,,,Main,ADM,Administration,69,69,69
OSU_RTS.MDBUS_C1.025_HF,DERBY CW HEAT FLOW,KBTU/HR,Chilled Water ,25,Derby Hall,115334.0,1906-07-01,40.00076,-83.01243,Main,ACA,Academic/Administration,69,69,69
OSU_RTS.MDBUS_RT.025S_HF,DERBY STM HEAT FLOW,KBTU/HR,Steam,25,Derby Hall,115334.0,1906-07-01,40.00076,-83.01243,Main,ACA,Academic/Administration,69,69,69
OSU_RTS.MDBUS_C1.251_HF,SCHOENBAUM CW HEAT FLOW,KBTU/HR,Chilled Water ,251,Schoenbaum Undergrad Program Bldg,62748.0,1999-07-01,40.00433,-83.01475,Main,ACA,Academic/Administration,69,69,69
OSU_RTS.MDBUS_RT.251S_HF,SCHOENBAUM STM HEAT FLOW,KBTU/HR,Steam,251,Schoenbaum Undergrad Program Bldg,62748.0,1999-07-01,40.00433,-83.01475,Main,ACA,Academic/Administration,69,69,69
OSU_RTS.MDBUS_C1.252_HF,MASON CW HEAT FLOW,KBTU/HR,Chilled Water ,252,"Mason, Raymond E, Hall",68150.0,1999-07-01,40.0044,-83.01547,Main,ACA,Academic,69,69,69
OSU_RTS.MDBUS_RT.252S_HF,MASON STM HEAT FLOW,KBTU/HR,Steam,252,"Mason, Raymond E, Hall",68150.0,1999-07-01,40.0044,-83.01547,Main,ACA,Academic,69,69,69
OSU_RTS.MDBUS_RT.254S_HF,BLACKWELL STM HEAT FLOW,KBTU/HR,Steam,254,Blackwell Inn,127992.0,2002-07-01,40.00483,-83.01661,Main,SDL,Hotel,69,69,69
OSU_RTS.MDBUS_C1.254C_HF,BLACKWELL CW HEAT FLOW,KBTU/HR,Chilled Water ,254,Blackwell Inn,127992.0,2002-07-01,40.00483,-83.01661,Main,SDL,Hotel,69,69,69
OSU_RTS.MDBUS_RT.259S21HF,12TH AVE EAST ST HEAT FL,KBTU/HR,Steam,259,"HALE HALL, FRANK W. JR.",26855.0,1964-06-01,,,,,,,,
OSU_RTS.MDBUS_RT.259S22HF,12TH AVE WEST HEAT FLOW,KBTU/HR,Steam,259,"HALE HALL, FRANK W. JR.",26855.0,1964-06-01,,,,,,,,
OSU_RTS.MDBUS_RT.259S_HF,HALE HALL ST HEAT FLOW,KBTU/HR,Steam,259,"HALE HALL, FRANK W. JR.",26855.0,1964-06-01,,,,,,,,
OSU_RTS.MDBUS_C1.026_HF,CALDWELL CW HEAT FLOW,KBTU/HR,Chilled Water ,26,Caldwell Laboratory,100348.0,1950-07-01,40.00243,-83.01503,Main,ACA,Academic/Research,69,69,69
OSU_RTS.MDBUS_C1.266_2HF,RIFFE CW02 HEAT FLOW,KBTU/HR,Chilled Water ,266,"Riffe, Vernal G, Jr, Building",130130.0,1994-07-01,39.99674,-83.02044,Main,ACA,Lab,69,69,69
OSU_RTS.MDBUS_C1.266_HF,RIFFE CW01 HEAT FLOW,KBTU/HR,Chilled Water ,266,"Riffe, Vernal G, Jr, Building",130130.0,1994-07-01,39.99674,-83.02044,Main,ACA,Lab,69,69,69
OSU_RTS.MDBUS_RT.266S_HF,RIFFE ST HEAT FLOW,KBTU/HR,Steam,266,"Riffe, Vernal G, Jr, Building",130130.0,1994-07-01,39.99674,-83.02044,Main,ACA,Lab,69,69,69
OSU_RTS.MDBUS_RT.272SK_HF,MORRILL KIT.STM.HEAT FLO,KBTU/HR,Steam,272,"Morrill, Justin S, Tower",324139.0,1967-07-01,40.00004,-83.02188,Main,SDL,Student Housing,69,69,69
OSU_RTS.MDBUS_RT.273S_HF,PARK STM HEAT FLOW,KBTU/HR,Steam,273,"Parks, Lloyd M, Hall",119237.0,1967-07-01,39.99638,-83.02094,Main,ACA,Academic/Research,69,69,69
OSU_RTS.MDBUS_CC.274C_HF,HITCHCOCK CW HEAT FLOW,KBTU/HR,Chilled Water ,274,Hitchcock Hall,118612.0,1967-07-01,40.00357,-83.01528,Main,ACA,Academic,69,69,69
OSU_RTS.MDBUS_RT.274S_HF,HITCHCOCK HALL ST HT FLO,KBTU/HR,Steam,274,Hitchcock Hall,118612.0,1967-07-01,40.00357,-83.01528,Main,ACA,Academic,69,69,69
